feature,weight
might,0.009999999999999997
transfer,0.09999999999999999
detail,0.05000000000000001
someon,-0.07
contract,0.03
pai,0.09999999999999999
sum,0.04
feder,-0.010000000000000004
surpris,0.019999999999999997
five,0.010000000000000004
seen,0.019999999999999997
thousand,0.08
tune,0.01
central,0.04
usdollarnumb,0.09
caus,-0.03
foreign,0.060000000000000005
power,-0.030000000000000006
opportun,0.10999999999999999
paid,0.11999999999999998
possibl,0.019999999999999997
like,3.469446951953614e-18
get,3.469446951953614e-18
left,-0.04
sep,-0.009999999999999997
mon,0.01
them,-0.05
copyright,-0.11999999999999998
into,-0.020000000000000004
tom,-0.07
enough,-0.060000000000000005
packag,-0.01
peopl,0.07
happen,0.030000000000000006
folk,-0.060000000000000005
behind,-0.04
work,-0.009999999999999997
still,-0.09999999999999999
initi,-0.01
few,-0.03
k,0.019999999999999997
while,-0.009999999999999997
alert,0.019999999999999997
network,-0.09999999999999999
numbermb,-0.04
seek,0.03
award,-0.03
drive,3.469446951953614e-18
camera,-0.060000000000000005
outstand,0.0
next,-0.03
numberx,0.0
seri,-0.05
winner,-0.03
dell,-0.02
processor,0.0
chanc,-0.009999999999999997
juli,-0.07
digit,-0.07
win,-0.009999999999999997
valu,-3.469446951953614e-18
re,-0.060000000000000005
pda,-0.02
shot,-0.03
screen,-0.01
newslett,-0.11999999999999998
faq,-0.060000000000000005
could,3.469446951953614e-18
top,3.469446951953614e-18
bui,0.009999999999999997
tech,-0.09999999999999999
ll,-0.07
reserv,-0.11999999999999998
job,-0.04
april,-0.03
live,-0.05
unsubscrib,-0.060000000000000005
cio,-0.05
zdnet,-0.060000000000000005
rpm,-0.060000000000000005
pc,3.469446951953614e-18
capac,-0.03
ship,0.0
pnumber,-0.01
save,0.05
pocket,-0.03
intel,-0.01
start,-0.020000000000000004
cnet,-0.07
enter,-0.07
numberxnumb,0.060000000000000005
where,-0.060000000000000005
their,-0.020000000000000004
stick,0.0
made,-0.019999999999999997
corpu,0.0
three,-3.469446951953614e-18
devel,-0.07
yahoo,-0.12999999999999998
product,-0.060000000000000005
probabl,-0.03
rather,-0.03
compon,0.01
o,0.05
os,-0.060000000000000005
complet,-0.07
summari,-0.08
end,-3.469446951953614e-18
should,0.010000000000000004
split,-0.02
got,-0.03
overal,0.01
bug,-0.10999999999999999
four,0.05
version,-0.12999999999999998
traffic,0.03
becaus,-0.05
ratio,0.05
platform,0.019999999999999997
six,-0.020000000000000004
watch,-0.009999999999999997
rank,0.03
differ,-0.03
prioriti,-0.019999999999999997
lot,3.469446951953614e-18
put,-0.04000000000000001
enhanc,0.03
normal,0.0
statu,-0.03
bad,3.469446951953614e-18
two,-0.04
score,-0.060000000000000005
guess,-0.08
industri,0.08
most,0.08
place,0.05
hasn,-0.02
bring,-0.060000000000000005
paper,-3.469446951953614e-18
hall,-0.02
g,0.07
even,0.010000000000000004
behalf,0.009999999999999997
did,0.03
nor,-0.03
econom,-0.02
year,0.060000000000000005
team,-0.11999999999999998
import,0.07
titl,0.020000000000000004
nice,-0.019999999999999997
tell,0.010000000000000004
non,-0.030000000000000006
govern,0.060000000000000005
near,-0.09999999999999999
fail,-0.05
poor,-0.019999999999999997
effici,-0.03
statement,-0.03
regul,0.0
impress,-0.019999999999999997
recal,-0.03
lai,0.0
offici,-0.060000000000000005
again,0.009999999999999997
convinc,-0.019999999999999997
too,-0.09
hand,-0.020000000000000004
decad,-0.03
tuesdai,-0.03
stand,-0.010000000000000004
why,0.019999999999999997
worker,-0.02
hi,-0.03
illeg,-0.01
capit,0.04
wasn,-0.05
implement,-0.04
about,-0.03
down,-0.05
ago,-0.060000000000000005
true,0.009999999999999997
confus,0.010000000000000004
billion,0.0
finish,-0.019999999999999997
de,0.07
off,-0.019999999999999997
joseph,0.04
august,-0.10999999999999999
india,-0.019999999999999997
french,0.0
anywher,0.05
googl,-0.08
yet,-0.05
despit,-0.04
hold,-0.060000000000000005
permit,-0.05
close,-0.060000000000000005
spin,-0.060000000000000005
pm,-0.060000000000000005
social,-0.03
els,-0.019999999999999997
specif,0.020000000000000004
routin,-0.019999999999999997
perhap,-0.019999999999999997
varieti,0.0
took,-0.05
came,0.04
certainli,-0.009999999999999997
countri,0.08
keep,-0.030000000000000006
liber,-0.03
mani,0.03
he,0.06000000000000001
guid,-0.019999999999999997
theori,-0.02
must,0.009999999999999997
canada,-0.07
cultur,-0.019999999999999997
polit,-0.08
becam,-0.060000000000000005
telephon,0.03
crash,-0.03
push,0.010000000000000004
classic,-0.04
solut,-0.05
sent,-0.019999999999999997
real,0.08
wors,-0.060000000000000005
america,-0.04
articl,-0.03
properti,-0.01
invest,0.060000000000000005
ten,-0.019999999999999997
someth,-0.11999999999999998
person,0.05000000000000001
read,-0.05
john,-0.009999999999999997
exactli,-0.009999999999999997
franc,-0.010000000000000004
see,0.05
market,0.11999999999999998
popul,-0.01
societi,-0.009999999999999997
lead,-3.469446951953614e-18
onlin,-0.05000000000000001
question,-0.05
numbertnumb,-0.060000000000000005
numberpm,-0.02
url,-0.09999999999999999
tomorrow,-0.07
date,-0.07
heard,0.01
go,-0.04000000000000001
stock,-0.03
month,0.05000000000000001
profit,0.03
sorri,0.019999999999999997
older,-0.02
insid,-0.019999999999999997
c,0.010000000000000004
citi,0.02
profession,0.10999999999999999
amp,0.060000000000000005
latest,-0.11999999999999998
subscrib,-0.08
deal,0.009999999999999997
succe,0.03
world,0.009999999999999997
american,3.469446951953614e-18
street,-0.010000000000000004
san,0.019999999999999997
mobil,-0.019999999999999997
strategi,0.05
st,0.08
ahead,-0.04
credit,0.08
british,0.01
former,-0.060000000000000005
republ,0.04
ceo,-0.05
intellig,-0.01
zip,0.01
card,0.07
minor,-0.01
ventur,0.05
spain,0.019999999999999997
east,0.03
centuri,0.009999999999999997
updat,-0.03
maker,0.01
knowledg,0.0
china,0.05
africa,0.060000000000000005
requir,0.060000000000000005
annual,3.469446951953614e-18
numberst,0.060000000000000005
competit,0.04
analyst,-0.02
select,-0.05
w,-0.07
u,0.09999999999999999
ireland,-0.060000000000000005
first,-0.09999999999999999
field,3.469446951953614e-18
code,-0.09
ag,-0.04000000000000001
v,-0.010000000000000004
postal,0.07
chri,-0.04
express,0.01
error,-0.020000000000000004
unseen,-0.01
int,-0.04
event,0.03
bodi,0.08
ftoc,0.0
procedur,0.01
bound,0.01
had,-0.060000000000000005
build,0.04
button,-0.010000000000000004
relat,-0.009999999999999997
scott,-0.02
folder,-0.02
scan,-3.469446951953614e-18
exmh,-0.02
june,0.05
cv,-0.02
hit,-0.009999999999999997
inbox,-0.01
line,-0.05
command,-0.060000000000000005
within,0.04
fact,-3.469446951953614e-18
felt,0.009999999999999997
jul,-0.04
mention,0.04
develop,-0.019999999999999997
don,0.030000000000000006
numberam,-0.02
basic,0.009999999999999997
school,-0.08
hadn,-0.02
veri,0.05
convers,-0.01
almost,3.469446951953614e-18
nt,0.04
call,0.08
format,-0.030000000000000006
entir,-0.009999999999999997
disk,0.04
restor,0.03
thought,0.010000000000000004
anyon,-0.04
floppi,0.02
domest,0.0
cd,0.03
make,-0.05
boot,0.01
averag,0.030000000000000006
ie,-0.03
gone,-0.03
repair,0.05
either,0.04000000000000001
load,-0.01
claim,0.03
choos,0.03
cash,-3.469446951953614e-18
frame,0.04
bottom,-0.07
anymor,-0.009999999999999997
move,0.01
instead,-0.09999999999999999
quickli,-0.04
couldn,0.0
bit,-0.11999999999999998
didn,-0.019999999999999997
appreci,0.03
whole,-3.469446951953614e-18
stupid,-0.02
affect,0.0
bb,0.02
balanc,-0.03
went,0.019999999999999997
sound,-0.009999999999999997
mean,-0.05000000000000001
troubl,-3.469446951953614e-18
materi,0.05
bill,0.060000000000000005
altern,0.04000000000000001
charg,0.08
anyth,0.05
stuck,-0.03
truli,-0.009999999999999997
spent,-0.04
penni,0.009999999999999997
hell,0.01
realli,-0.03
whether,-0.019999999999999997
said,-0.08
rate,3.469446951953614e-18
insur,0.01
effect,0.019999999999999997
sign,0.010000000000000004
sender,-0.07
print,-0.010000000000000004
doe,0.08
lower,-0.060000000000000005
term,-0.04
mayb,3.469446951953614e-18
spend,0.01
cost,0.009999999999999997
financi,0.12999999999999998
those,-0.060000000000000005
burn,-0.01
silli,-0.02
crap,-0.04
situat,-0.019999999999999997
bother,-0.01
similar,-0.03
custom,-0.020000000000000004
togeth,-0.05
bell,-0.060000000000000005
funni,0.01
though,-0.019999999999999997
fit,-0.019999999999999997
war,-0.060000000000000005
apt,-0.02
rh,0.0
repositori,-0.01
html,-0.060000000000000005
risk,0.07
broker,0.009999999999999997
health,-0.02
amount,0.04
declin,-0.060000000000000005
content,0.009999999999999997
underwrit,-0.02
face,-3.469446951953614e-18
hour,0.09999999999999999
life,0.09999999999999999
mime,-0.03
commiss,0.04
nextpart,0.060000000000000005
charset,0.060000000000000005
case,-0.05
tm,-0.01
iso,-0.05000000000000001
type,0.10999999999999999
part,-0.060000000000000005
multi,-3.469446951953614e-18
text,0.060000000000000005
encod,0.08
major,0.09
plain,-0.12999999999999998
male,-0.009999999999999997
let,0.07
window,0.04
printabl,-0.09999999999999999
standard,-0.09999999999999999
medic,0.04
creat,-0.020000000000000004
extract,0.05
cell,-0.009999999999999997
research,-0.04
scientist,-0.03
trip,-0.060000000000000005
throw,-0.060000000000000005
hunt,-0.05
gift,-0.01
forev,0.07
william,-0.04
senior,-0.060000000000000005
famili,0.019999999999999997
understand,-0.010000000000000004
introduc,-0.01
campaign,-0.03
carri,0.03
affili,0.01
deposit,0.07
seven,0.05
bar,0.01
drug,0.05
safe,0.060000000000000005
relev,-0.02
di,-0.010000000000000004
label,-0.01
sir,0.07
offic,-0.060000000000000005
secur,0.03
associ,0.04
box,-0.02
mind,0.04
arrest,-0.03
late,0.009999999999999997
confid,-0.05
conclud,0.0
involv,0.09999999999999999
arrang,0.02
document,0.060000000000000005
meant,-0.01
agreement,0.0
reader,3.469446951953614e-18
safeti,0.0
urgent,0.05
transact,0.08
reach,0.09999999999999999
id,0.009999999999999997
head,-0.07
dear,0.019999999999999997
wait,0.009999999999999997
belong,-0.060000000000000005
proven,0.03
trade,0.08
hettinga,-0.05
wouldn,-0.01
anybodi,-0.04
abil,0.05
abl,-0.08
histori,0.01
clear,3.469446951953614e-18
switch,-0.060000000000000005
xp,-0.019999999999999997
actual,0.020000000000000004
self,-0.010000000000000004
noth,0.05
sit,-0.05
complain,-0.01
kind,-0.019999999999999997
video,-0.009999999999999997
figur,0.05
led,-0.05
peter,0.05
block,-0.10999999999999999
corner,-0.09
found,0.06000000000000001
ilug,-0.01
old,-0.05
essenti,0.0
plug,-0.01
ok,-0.05
leav,-0.04
variou,-0.02
devic,-0.03
never,0.07
keyboard,0.0
begin,0.009999999999999997
fan,-0.05
effort,-0.01
pre,-0.019999999999999997
lack,-0.019999999999999997
her,0.060000000000000005
cabl,-0.02
eventu,0.05
connect,-0.03
insert,0.0
anytim,0.02
stop,-0.05000000000000001
etc,0.03
bulk,0.060000000000000005
imagin,0.019999999999999997
between,-0.03
internet,0.10999999999999999
per,0.030000000000000006
mailer,-0.02
larger,-0.019999999999999997
week,0.05000000000000001
bigger,0.01
plan,0.05
respond,-0.02
simpl,0.13999999999999999
order,0.03
deliv,-0.09999999999999999
each,0.03
depend,-0.019999999999999997
engin,0.04
search,-0.019999999999999997
potenti,0.060000000000000005
remain,3.469446951953614e-18
certain,0.05
assum,-0.020000000000000004
stabl,0.01
session,-0.060000000000000005
extern,-0.01
function,-0.05
web,0.010000000000000004
default,-0.009999999999999997
listen,-0.019999999999999997
support,-0.019999999999999997
configur,-0.07
expect,-0.019999999999999997
cat,-0.01
excel,0.0
stuff,-0.05
revis,0.02
snapshot,0.02
http,-0.01
kill,-0.05
string,0.0
port,0.060000000000000005
plai,0.030000000000000006
sat,0.0
prompt,0.03
success,0.060000000000000005
won,-0.030000000000000006
proxi,0.02
anoth,-0.04
featur,-0.04
via,-0.05
prevent,-0.019999999999999997
stephen,-0.03
sort,-0.020000000000000004
raw,0.02
host,-0.01
union,-0.02
numbercnumb,-0.03
hire,-0.03
technolog,-0.12999999999999998
cnumber,0.05
numberbit,-0.09
disabl,-0.04
retir,0.05
edg,0.0
sell,0.060000000000000005
comprehens,0.01
sale,0.05
firm,3.469446951953614e-18
grow,0.08
model,-0.009999999999999997
map,-0.03
estat,0.03
target,0.09999999999999999
continu,-0.07
numberk,0.010000000000000004
fix,-0.04
fresh,-0.03
softwar,-0.060000000000000005
proprietari,-0.01
dealer,0.03
practic,-0.04
meet,0.07
variabl,-0.01
kei,0.020000000000000004
individu,0.030000000000000006
establish,0.02
expert,-0.03
advisor,0.019999999999999997
fire,0.05
qualifi,0.05
program,0.019999999999999997
brought,0.01
long,0.019999999999999997
conveni,-0.03
privat,-3.469446951953614e-18
compens,0.01
local,0.04
design,0.05000000000000001
educ,0.07
termin,-0.04
gnome,0.01
lie,0.02
huge,0.05
partit,-0.03
rebuild,-0.02
earlier,-0.04
dynam,0.060000000000000005
besid,0.0
wrong,0.07
sun,-0.03
server,-0.08
redhat,-0.02
ignor,0.04
src,0.02
inde,-3.469446951953614e-18
app,-0.02
blood,-0.04
kevin,-0.05
boi,-0.01
artist,-0.03
vs,0.03
talk,-0.09
suit,-3.469446951953614e-18
doer,0.0
gnu,-0.01
issu,-0.04
perform,-0.019999999999999997
garrigu,0.0
tx,0.01
vnumber,-0.060000000000000005
gnupg,-0.01
comment,-0.12999999999999998
vircio,0.0
numberp,-0.05
pgp,-0.03
signatur,0.01
iii,-0.02
evil,-0.019999999999999997
congress,-0.01
austin,-0.01
ascii,-0.060000000000000005
mnumber,-0.019999999999999997
alreadi,-0.11999999999999998
config,-0.02
ill,0.04
patch,0.01
consid,0.019999999999999997
driver,-0.02
fi,0.02
produc,-0.020000000000000004
alsa,0.0
imho,0.0
spec,-0.01
usb,0.02
along,0.07
matthia,0.0
freshrpm,0.0
proof,-3.469446951953614e-18
conduct,0.01
larg,0.10999999999999999
pleasur,0.05
area,-0.03
capabl,-0.05
guarante,0.18000000000000002
famou,-0.019999999999999997
women,0.009999999999999997
lo,0.05
n,0.03
measur,-0.01
attach,-0.05
valid,0.009999999999999997
tue,-0.01
except,-0.03
ga,0.01
particularli,-0.08
commerci,0.08
obvious,0.02
whitelist,0.0
quit,0.0
third,-3.469446951953614e-18
unsolicit,-0.03
spammer,-0.02
seed,0.01
sa,0.019999999999999997
result,0.08
cool,-0.019999999999999997
wire,-0.03
gmt,-0.03
request,0.09
fals,-0.04
wast,-0.02
town,0.0
land,-0.04
focu,-0.03
fast,0.04
var,0.02
apart,-0.01
ye,-0.04
simpli,0.04
press,-0.060000000000000005
numberd,-3.469446951953614e-18
length,0.009999999999999997
sold,0.03
care,0.04
j,0.07
locat,-0.060000000000000005
hous,0.05
frustrat,0.019999999999999997
dont,0.0
longer,0.07
view,-0.11999999999999998
project,0.020000000000000004
arriv,-0.020000000000000004
rang,-0.05
site,0.05
queri,-0.01
suse,-0.03
perfectli,-0.05
everyth,0.0
point,-0.11999999999999998
game,-0.07
cheer,-0.09
especi,-0.02
databas,-0.019999999999999997
journal,0.02
saturdai,-0.02
wife,0.03
hospit,0.01
coupl,-0.05
root,0.02
signific,-0.01
paul,-0.03
bai,-0.02
cover,-0.030000000000000006
orient,0.01
beach,0.04
round,-0.019999999999999997
quick,-0.01
stori,-0.019999999999999997
collect,0.009999999999999997
walk,-0.060000000000000005
java,-0.01
data,-0.09999999999999999
wonder,0.0
usag,0.019999999999999997
patent,0.03
f,0.08
mike,-0.09
interact,-0.009999999999999997
rout,-0.02
track,0.05
virtual,-0.03
architectur,-0.02
consum,0.03
instant,-0.03
launch,-0.05
msn,-0.02
unlimit,0.02
natur,-0.04
sampl,-0.019999999999999997
mix,0.0
condit,0.04
interfac,0.0
allow,-0.05
fine,0.01
feel,0.05
hmm,-0.03
hang,-0.04
gai,-0.03
difficult,-0.02
taken,-0.05
club,0.019999999999999997
ms,0.019999999999999997
clearli,-0.04
eugen,0.0
met,0.009999999999999997
michael,-0.009999999999999997
mine,-0.02
stabil,0.03
energi,0.04
www,0.07
later,0.07
shop,-0.05
gui,3.469446951953614e-18
second,-0.04
him,-0.03
experi,-0.009999999999999997
told,0.009999999999999997
annoi,-0.04
until,-0.11999999999999998
loan,-0.01
ask,3.469446951953614e-18
spread,0.009999999999999997
monthli,0.03
add,-0.019999999999999997
limit,0.009999999999999997
websit,0.09999999999999999
plenti,-0.03
beauti,0.019999999999999997
feedback,-0.019999999999999997
pop,-0.03
page,-0.04
purchas,0.019999999999999997
absolut,0.12999999999999998
total,0.05
attempt,-0.07
rel,0.04
resourc,0.09
ensur,-0.019999999999999997
explain,-0.020000000000000004
depart,0.02
assur,0.019999999999999997
march,0.019999999999999997
directli,-0.009999999999999997
train,0.04
mr,-0.05
corpor,-0.020000000000000004
myself,-0.04
letter,0.04
employe,-0.03
choic,0.020000000000000004
whose,-0.05
worri,0.04000000000000001
joe,-0.09
isp,0.05
dsl,0.0
jabber,0.0
argument,0.0
impact,0.0
tire,0.009999999999999997
slow,-0.01
paragraph,-3.469446951953614e-18
cf,0.01
adam,-0.060000000000000005
sundai,-0.019999999999999997
sometim,-0.019999999999999997
idea,-0.019999999999999997
fun,-0.060000000000000005
suffer,-0.01
descript,-0.07
freebsd,0.08
osdn,-0.08
reduc,-0.04
cannot,0.01
haven,0.0
flow,-0.09
method,0.08
fair,-0.03
aim,-0.019999999999999997
log,-0.04
love,0.010000000000000004
forward,-0.010000000000000004
serv,0.05
fortun,0.05
congratul,-0.05
p,-0.060000000000000005
friend,-0.020000000000000004
correspond,0.05
cancel,-0.03
handl,0.060000000000000005
perfect,0.03
bottl,0.04
men,0.060000000000000005
act,0.019999999999999997
light,0.019999999999999997
summer,-0.060000000000000005
sens,-0.05
beta,-0.02
tape,-0.03
space,-0.04
media,-0.019999999999999997
laptop,-0.04
hat,-0.02
b,0.09
red,-0.019999999999999997
separ,0.07
radio,-0.03
tv,3.469446951953614e-18
saou,0.0
straight,-0.01
glad,0.01
least,0.009999999999999997
luck,0.05
thoma,0.0
upgrad,-0.11999999999999998
shape,-0.019999999999999997
anywai,-0.05
usr,-0.01
alwai,0.019999999999999997
releas,-0.060000000000000005
backup,0.0
enabl,0.05
less,-0.03
against,-0.03
dave,-0.03
pull,0.0
thu,-0.019999999999999997
small,0.0
somewher,0.01
kernel,0.0
insist,-0.03
aug,-0.060000000000000005
refin,-0.01
lock,0.05
h,0.03
match,-0.019999999999999997
improv,0.03
consult,0.03
mortgag,0.02
lowest,0.05
homeown,-0.01
equiti,0.0
lender,0.01
brief,-0.03
fault,-0.01
intern,-0.04
reason,0.03
david,-0.09
exist,0.0
particular,-0.020000000000000004
pick,-0.019999999999999997
among,-0.05
retain,0.019999999999999997
under,0.060000000000000005
microsoft,-0.07
translat,-0.02
firewal,-0.01
learn,-0.019999999999999997
aren,-0.060000000000000005
fairli,0.0
necessarili,-0.060000000000000005
big,0.030000000000000006
progress,0.0
technic,-0.009999999999999997
twice,-0.01
agre,-0.030000000000000006
roll,0.07
topic,-0.05
tel,0.04
prefer,-0.15
howev,-0.07
jump,0.0
judg,-0.03
compar,0.05
hate,-0.019999999999999997
deathtospamdeathtospamdeathtospam,0.19000000000000003
sight,0.24000000000000005
browser,-0.060000000000000005
btw,-0.03
hash,-0.01
contain,0.07
categori,0.05000000000000001
task,0.01
cach,0.01
xml,-0.03
across,0.02
dvd,-0.09
rom,0.02
instantli,0.03
otherwis,-0.05
tri,3.469446951953614e-18
store,-0.04
ibm,-0.05
show,-0.04
attent,0.07
mailbox,0.01
incred,0.03
exclud,0.05
independ,0.030000000000000006
daniel,-0.01
owner,-0.010000000000000004
wrinkl,0.01
lose,0.05
li,0.019999999999999997
memori,-0.04
growth,-0.03
disappear,0.01
loss,0.09999999999999999
weight,0.07
skin,0.02
increas,0.09
muscl,-0.02
revers,0.0
erect,0.02
bone,0.0
human,-0.009999999999999997
mass,0.0
ca,0.009999999999999997
remark,0.05
hello,0.009999999999999997
discoveri,0.01
opt,0.04
hair,0.03
warm,-0.01
bnumber,-0.060000000000000005
trend,-0.04
